1288	390
1163	382
1087	248
720	458
560	298
528	723
509	118
488	473
416	225
413	382 390
374	387
336	407
328	60
320	181
304	832
291	25
290	526
279	752
253	1201
242	180
233	225 407
230	117
227	45
227	422
227	501
222	177
211	425
209	1832
204	488
203	382 723
202	1263
194	1832 298
182	942
181	88
175	245
170	495
161	355
159	382 407
159	225 382
157	93
153	122
149	1259
145	829
142	3
141	416
141	390 425
140	755
138	525
135	881
134	1789
128	880
127	382 422
125	619
123	134
123	225 382 407
122	748
122	661
120	83
118	2478
117	745
117	1650
116	248 832
115	99
113	98
113	655
108	181 390
107	152
107	248 473
106	874
102	499
102	797
102	1050
